基金管理人,基金托管人,申请事项,申请材料接收日,通知补正日,接收补正材料日,受理决定或者不予受理决定日,第一次反馈意见日,接收第一次反馈材料日,第二次反馈意见日,接收第二次反馈材料日,需说明情况,决定
大成,渤海银行,惠轩定期开放纯债债券型,2016/8/1,—,—,2016-8-8（受理）,2016/8/22,,,,,
大成,农业银行,惠弘定期开放纯债债券型,2016/8/1,—,—,2016-8-9（受理）,2016/8/24,,,,,
大成,中国银行,惠享定期开放纯债债券型,2016/8/1,—,—,2016-8-9（受理）,2016/8/24,,,,,
上海东方证券资管,招商银行,东方红睿乾沪港深三年定期开放灵活配置混合型,2016/8/19,—,—,2016-8-26（受理）,2016/9/7,2016/12/1,2016/12/8,,,
九泰,工商银行,盈丰量化多策略灵活配置混合型,2016/10/10,—,—,2016-10-17（受理）,2016/11/1,2019/7/22,,,,2019/7/26
银华,建设银行,丰盈三年半理财债券型,2016/9/30,—,—,2016-11-23（受理）,2016/12/8,,,,,
前海开源,平安银行,沪港深聚鑫灵活配置混合型,2016/12/19,—,—,2017-3-22（受理）,2017/4/10,,,,,
兴全,招商银行,恒兴沪港深灵活配置型,2017/3/17,—,—,2017-3-22（受理）,2017/4/7,,,,,
华夏,中国银行,中债7-10年期政策性金融债交易型开放式基金,2017/3/29,—,—,2017-5-11（受理）,2017/5/23,,,,,
华夏,中国银行,中债7-10年期政策性金融债交易型开放式基金发起式联接基金,2017/3/30,—,—,2017-5-11（受理）,2017/5/23,,,,,
华富,浦发银行,中证5年恒定久期国开债交易型开放式指数基金,2017/6/12,—,—,2017-6-19（受理）,2017/7/3,,,,,
先锋,恒泰证券,量化红利股票型基金（LOF）,2017/7/4,—,—,2017-7-11（受理）,2017/7/21,,,,,
国泰,中国银行,价值精选灵活配置混合型,2017/7/12,—,—,2017-7-19（受理）,2017/7/31,,,,,
广发,民生银行,钱袋宝货币市场基金,2017/7/24,—,—,2017-7-28（受理）,2017/8/17,,,,,
万家,浦发银行,天丰宝货币市场基金,2017/7/26,—,—,2017-8-2（受理）,2017/8/21,,,,,
南方,民生银行,天天薪货币市场基金,2017/7/27,—,—,2017-8-3（受理）,2017/8/25,,,,,
中金,中国银行,新常态灵活配置混合型,2017/7/31,—,—,2017-8-7（受理）,2017/8/25,,,,,
富荣,交通银行,富利宝交易型货币市场基金,2017/7/20,—,—,2017-8-10（受理）,2017/8/28,,,,,
中欧,招商银行,滚利一年滚动持有债券型,2017/7/13,—,—,2017-8-17（受理）,2017/9/4,2019/6/12,,,,2019/6/18
红土创新,招商银行,宏淳货币市场基金,2017/8/11,—,—,2017-8-18（受理）,2017/9/4,,,,,
浙江浙商证券资管,交通银行,汇金天添宝货币市场基金,2017/8/22,—,—,2017-8-29（受理）,2017/9/12,,,,,
广发,浦发银行,浦鑫货币市场基金,2017/8/23,—,—,2017-8-29（受理）,2017/9/12,,,,,
农银汇理,浦发银行,现金宝货币市场基金,2017/8/25,—,—,2017-8-30（受理）,2017/9/13,,,,,
中信保诚,中信银行,天添鑫货币市场基金,2017/8/29,—,—,2017-9-5（受理）,2017/9/13,,,,,
长城,江苏银行,天天宝货币市场基金,2017/9/4,—,—,2017-9-11（受理）,2017/9/27,,,,,
九泰,工商银行,安鑫纯债债券型,2017/9/4,—,—,2017-9-11（受理）,2017/9/26,,,,,
银河,工商银行,胜蓝货币市场基金,2017/9/7,—,—,2017-9-13（受理）,2017/9/27,,,,,
九泰,浙商银行,久弘灵活配置混合型,2017/9/8,—,—,2017-9-15（受理）,2017/9/27,2019/7/19,,,,2019/7/25
汇添富,上海银行,添利宝货币市场基金,2017/9/15,—,—,2017-9-22（受理）,2017/10/17,,,,,
博时,招商银行,月开鑫纯债债券型,2017/7/25,—,—,2017-9-27（受理）,2017/10/13,,,,,
平安,工商银行,港股通恒生交易型开放式指数基金,2017/9/25,—,—,2017-9-30（受理）,2017/10/20,,,,,
易方达,招商银行,天天招财货币市场基金,2017/10/20,—,—,2017-10-24（受理）,2017/10/31,,,,,
华安,兴业银行,兴安宝货币市场基金,2017/8/29,—,—,2017-10-30（受理）,2017/11/8,,,,,
国联安,建设银行,天添鑫货币市场基金,2017/10/25,—,—,2017-10-31（受理）,2017/11/8,,,,,
恒越,工商银行,精选股票型发起式基金,2017/10/31,—,—,2017-11-6（受理）,2017/11/14,,,,,
国融,农业银行,融鑫灵活配置混合型,2017/11/1,—,—,2017-11-8（受理）,2017/11/21,,,,,
